gene_symbol	chromosome	start	length	color	full_name	days_in_timeframe	recent_timeframe_citation_count	past_timeframe_citation_count	citation_count_delta	significance	recent_gene_rank	past_gene_rank	rank_delta
PACSIN2	22	42869766	90115	#73af42	protein kinase C and casein kinase substrate in neurons 2	180	10	0	10		156	10478	-10322
SPRY2	13	80335977	3682	#73af42	sprouty RTK signaling antagonist 2	180	10	0	10		156	10478	-10322
ZFYVE26	14	67746522	70068	#73af42	zinc finger FYVE-type containing 26	180	10	0	10		156	10478	-10322
KIAA1549	7	138831381	150008	#73af42	KIAA1549	180	10	0	10		156	10478	-10322
TBC1D31	8	123073249	78903	#73af42	TBC1 domain family member 31	180	10	0	10		156	10478	-10322
CHID1	11	867859	42951	#73af42	chitinase domain containing 1	180	10	0	10		156	10478	-10322
NCDN	1	35557792	8987	#73af42	neurochondrin	180	10	0	10		156	10478	-10322
BCAS3	17	60677851	714980	#73af42	BCAS3 microtubule associated cell migration factor	180	10	0	10		156	10478	-10322
SLC19A1	21	45512565	29281	#73af42	solute carrier family 19 member 1	180	10	0	10		156	10478	-10322
CNPY2	12	56309844	6144	#73af42	canopy FGF signaling regulator 2	180	10	0	10		156	10478	-10322
COCH	14	30874535	16081	#73af42	cochlin	180	10	0	10		156	10478	-10322
HMMR	5	163460632	31309	#73af42	hyaluronan mediated motility receptor	180	10	0	10		156	10478	-10322
ANK3	10	60026298	546658	#73af42	ankyrin 3	180	10	0	10		156	10478	-10322
SPTBN2	11	66682496	38903	#73af42	spectrin beta, non-erythrocytic 2	180	10	0	10		156	10478	-10322
WIPI1	17	68421281	36243	#73af42	WD repeat domain, phosphoinositide interacting 1	180	10	0	10		156	10478	-10322
IL7	8	78732772	72751	#73af42	interleukin 7	180	10	0	10		156	10478	-10322
MICALL1	22	37906297	36525	#73af42	MICAL like 1	180	10	0	10		156	10478	-10322
MCC	5	113022106	272832	#73af42	MCC regulator of WNT signaling pathway	180	9	0	9		395	10478	-10083
DTNA	18	34493312	375500	#73af42	dystrobrevin alpha	180	9	0	9		395	10478	-10083
PHACTR4	1	28438150	62214	#73af42	phosphatase and actin regulator 4	180	9	0	9		395	10478	-10083
PEAK1	15	77100654	319450	#73af42	pseudopodium enriched atypical kinase 1	180	9	0	9		395	10478	-10083
ASAP1	8	130052105	391555	#73af42	ArfGAP with SH3 domain, ankyrin repeat and PH domain 1	180	9	0	9		395	10478	-10083
CEP63	3	134486173	78855	#73af42	centrosomal protein 63	180	9	0	9		395	10478	-10083
KLC4	6	43059913	15180	#73af42	kinesin light chain 4	180	9	0	9		395	10478	-10083
TECPR2	14	102362941	102708	#73af42	tectonin beta-propeller repeat containing 2	180	9	0	9		395	10478	-10083
PSD3	8	18527303	486400	#73af42	pleckstrin and Sec7 domain containing 3	180	9	0	9		395	10478	-10083
SMAP2	1	40373727	49595	#73af42	small ArfGAP2	180	9	0	9		395	10478	-10083
DNAJC17	15	40765161	42312	#73af42	DnaJ heat shock protein family (Hsp40) member C17	180	9	0	9		395	10478	-10083
EPB41L5	2	120013077	95397	#73af42	erythrocyte membrane protein band 4.1 like 5	180	9	0	9		395	10478	-10083
ENSA	1	150623278	5855	#73af42	endosulfine alpha	180	9	0	9		395	10478	-10083
DMXL1	5	119071087	178042	#73af42	Dmx like 1	180	9	0	9		395	10478	-10083
ECD	10	73134524	33571	#73af42	ecdysoneless cell cycle regulator	180	9	0	9		395	10478	-10083
WASHC2A	10	50067954	65555	#73af42	WASH complex subunit 2A	180	9	0	9		395	10478	-10083
FAM171A2	17	44353215	10638	#73af42	family with sequence similarity 171 member A2	180	9	0	9		395	10478	-10083
ARL13B	3	93980155	75523	#73af42	ADP ribosylation factor like GTPase 13B	180	9	0	9		395	10478	-10083
N4BP2	4	40056850	101402	#73af42	NEDD4 binding protein 2	180	9	0	9		395	10478	-10083
ADD2	2	70675091	93109	#73af42	adducin 2	180	9	0	9		395	10478	-10083
GAS8	16	90022600	22371	#73af42	growth arrest specific 8	180	9	0	9		395	10478	-10083
CCDC88A	2	55287842	132014	#73af42	coiled-coil domain containing 88A	180	9	0	9		395	10478	-10083
TSSC4	11	2400750	3126	#73af42	tumor suppressing subtransferable candidate 4	180	9	0	9		395	10478	-10083
NFIB	9	14081848	233106	#73af42	nuclear factor I B	180	9	0	9		395	10478	-10083
PLCH1	3	155479881	265190	#73af42	phospholipase C eta 1	180	9	0	9		395	10478	-10083
MARCKSL1	1	32333839	2394	#73af42	MARCKS like 1	180	9	0	9		395	10478	-10083
SIPA1L2	1	232397966	117642	#73af42	signal induced proliferation associated 1 like 2	180	9	0	9		395	10478	-10083
TMEM201	1	9588911	16038	#73af42	transmembrane protein 201	180	9	0	9		395	10478	-10083
ARHGAP11A	15	2133835	20711	#73af42	Rho GTPase activating protein 11A	180	9	0	9		395	10478	-10083
ARPIN	15	89896532	16155	#73af42	actin related protein 2/3 complex inhibitor	180	9	0	9		395	10478	-10083
EPB41L1	20	36092710	140089	#73af42	erythrocyte membrane protein band 4.1 like 1	180	9	0	9		395	10478	-10083
PLEKHG1	6	150599885	243780	#73af42	pleckstrin homology and RhoGEF domain containing G1	180	9	0	9		395	10478	-10083
ENTR1	9	136401922	8692	#73af42	endosome associated trafficking regulator 1	180	9	0	9		395	10478	-10083
MPP7	10	28050994	252070	#73af42	membrane palmitoylated protein 7	180	9	0	9		395	10478	-10083
PRCC	1	156767535	33279	#73af42	proline rich mitotic checkpoint control factor	180	9	0	9		395	10478	-10083
PTK7	6	43076314	85401	#73af42	protein tyrosine kinase 7 (inactive)	180	9	0	9		395	10478	-10083
MIB2	1	1615500	15105	#73af42	MIB E3 ubiquitin protein ligase 2	180	9	0	9		395	10478	-10083
CCSER2	10	84328589	189926	#73af42	coiled-coil serine rich protein 2	180	9	0	9		395	10478	-10083
MAP7D2	X	20006713	110194	#73af42	MAP7 domain containing 2	180	9	0	9		395	10478	-10083
SACS	13	23328831	104871	#73af42	sacsin molecular chaperone	180	9	0	9		395	10478	-10083
MRGBP	20	62796473	5256	#73af42	MRG domain binding protein	180	9	0	9		395	10478	-10083
SNAPIN	1	153658654	3198	#73af42	SNAP associated protein	180	9	0	9		395	10478	-10083
SOGA1	20	36777442	82431	#73af42	suppressor of glucose, autophagy associated 1	180	9	0	9		395	10478	-10083
CIZ1	9	128166065	25507	#73af42	CDKN1A interacting zinc finger protein 1	180	9	0	9		395	10478	-10083
FRS2	12	69470388	109403	#73af42	fibroblast growth factor receptor substrate 2	180	9	0	9		395	10478	-10083
DMXL2	15	51447722	175049	#73af42	Dmx like 2	180	9	0	9		395	10478	-10083
SLC4A1AP	2	27663471	31509	#73af42	solute carrier family 4 member 1 adaptor protein	180	9	0	9		395	10478	-10083
JAG2	14	105140996	27780	#73af42	jagged canonical Notch ligand 2	180	9	0	9		395	10478	-10083
ZDHHC2	8	17156482	68317	#73af42	zinc finger DHHC-type palmitoyltransferase 2	180	9	0	9		395	10478	-10083
ARHGEF10	8	7302	134715	#73af42	Rho guanine nucleotide exchange factor 10	180	9	0	9		395	10478	-10083
ZC3H13	13	45954465	98281	#73af42	zinc finger CCCH-type containing 13	180	9	0	9		395	10478	-10083
CACTIN	19	3610645	16145	#73af42	cactin, spliceosome C complex subunit	180	9	0	9		395	10478	-10083
REEP2	5	138439057	7908	#73af42	receptor accessory protein 2	180	9	0	9		395	10478	-10083
GALNT14	2	30910467	227973	#73af42	polypeptide N-acetylgalactosaminyltransferase 14	180	9	0	9		395	10478	-10083
MBD4	3	129430948	9000	#73af42	methyl-CpG binding domain 4, DNA glycosylase	180	9	0	9		395	10478	-10083
TCHP	12	109900274	17795	#73af42	trichoplein keratin filament binding	180	9	0	9		395	10478	-10083
DTNBP1	6	15523571	139457	#73af42	dystrobrevin binding protein 1	180	9	0	9		395	10478	-10083
MTMR1	X	150693396	71712	#73af42	myotubularin related protein 1	180	9	0	9		395	10478	-10083
MTA3	2	42568632	188314	#73af42	metastasis associated 1 family member 3	180	9	0	9		395	10478	-10083
CWC15	11	94962620	10936	#73af42	CWC15 spliceosome associated protein homolog	180	9	0	9		395	10478	-10083
CHD6	20	41402083	216294	#73af42	chromodomain helicase DNA binding protein 6	180	9	0	9		395	10478	-10083
PUS7	7	105456503	65768	#73af42	pseudouridine synthase 7	180	9	0	9		395	10478	-10083
R3HCC1L	10	98134624	110273	#73af42	R3H domain and coiled-coil containing 1 like	180	9	0	9		395	10478	-10083
DNAJB11	3	186570676	15124	#73af42	DnaJ heat shock protein family (Hsp40) member B11	180	9	0	9		395	10478	-10083
BLOC1S6	15	45587560	22156	#73af42	biogenesis of lysosomal organelles complex 1 subunit 6	180	9	0	9		395	10478	-10083
EAPP	14	34515938	23763	#73af42	E2F associated phosphoprotein	180	9	0	9		395	10478	-10083
CSPP1	8	67064392	132222	#73af42	centrosome and spindle pole associated protein 1	180	9	0	9		395	10478	-10083
LCK	1	32274111	12056	#73af42	LCK proto-oncogene, Src family tyrosine kinase	180	9	0	9		395	10478	-10083
CCDC18	1	93180716	98014	#73af42	coiled-coil domain containing 18	180	9	0	9		395	10478	-10083
CASKIN2	17	75500261	9629	#73af42	CASK interacting protein 2	180	9	0	9		395	10478	-10083
SRGAP1	12	63844700	317517	#73af42	SLIT-ROBO Rho GTPase activating protein 1	180	9	0	9		395	10478	-10083
FTSJ1	X	48476199	10151	#73af42	FtsJ RNA 2'-O-methyltransferase 1	180	9	0	9		395	10478	-10083
PHC1	12	8914509	26955	#73af42	polyhomeotic homolog 1	180	9	0	9		395	10478	-10083
INTS9	8	28767658	122523	#73af42	integrator complex subunit 9	180	9	0	9		395	10478	-10083
UHRF1BP1	6	34792083	85431	#73af42	UHRF1 binding protein 1	180	9	0	9		395	10478	-10083
SH3BP4	2	234965339	90375	#73af42	SH3 domain binding protein 4	180	9	0	9		395	10478	-10083
PLEKHA1	10	122386069	46286	#73af42	pleckstrin homology domain containing A1	180	9	0	9		395	10478	-10083
TOMM34	20	44942130	18267	#73af42	translocase of outer mitochondrial membrane 34	180	9	0	9		395	10478	-10083
FNBP4	11	148861	50847	#73af42	formin binding protein 4	180	9	0	9		395	10478	-10083
AMER1	X	64185117	20591	#73af42	APC membrane recruitment protein 1	180	9	0	9		395	10478	-10083
ATP1A2	1	160115759	27825	#73af42	ATPase Na+/K+ transporting subunit alpha 2	180	9	0	9		395	10478	-10083
GBA2	9	35736866	12362	#73af42	glucosylceramidase beta 2	180	9	0	9		395	10478	-10083
SIRPA	20	1894167	45727	#73af42	signal regulatory protein alpha	180	9	0	9		395	10478	-10083
NSRP1	17	30116816	69659	#73af42	nuclear speckle splicing regulatory protein 1	180	9	0	9		395	10478	-10083
KIF1B	1	10210570	98027	#73af42	kinesin family member 1B	180	9	0	9		395	10478	-10083
PCDH7	4	30720369	426431	#73af42	protocadherin 7	180	9	0	9		395	10478	-10083
USP32	17	60177328	214805	#73af42	ubiquitin specific peptidase 32	180	9	0	9		395	10478	-10083
MINK1	17	4833340	64721	#73af42	misshapen like kinase 1	180	9	0	9		395	10478	-10083
CDK17	12	96278261	122178	#73af42	cyclin dependent kinase 17	180	9	0	9		395	10478	-10083
FAM184B	4	17629306	152315	#73af42	family with sequence similarity 184 member B	180	9	0	9		395	10478	-10083
ZNF131	5	43120914	55408	#73af42	zinc finger protein 131	180	9	0	9		395	10478	-10083
DNAJC21	5	34929559	29405	#73af42	DnaJ heat shock protein family (Hsp40) member C21	180	9	0	9		395	10478	-10083
EPS15	1	51354263	67832	#73af42	epidermal growth factor receptor pathway substrate 15	180	9	0	9		395	10478	-10083
CCDC61	19	45995467	23149	#73af42	coiled-coil domain containing 61	180	9	0	9		395	10478	-10083
ARL2	11	65014160	8024	#73af42	ADP ribosylation factor like GTPase 2	180	9	0	9		395	10478	-10083
TXLNG	X	16786432	58087	#73af42	taxilin gamma	180	9	0	9		395	10478	-10083
BICD2	9	92711363	53470	#73af42	BICD cargo adaptor 2	180	9	0	9		395	10478	-10083
KLC2	11	66257294	10566	#73af42	kinesin light chain 2	180	9	0	9		395	10478	-10083
EFR3B	2	25042076	117059	#73af42	EFR3 homolog B	180	9	0	9		395	10478	-10083
PDLIM3	4	185500661	34846	#73af42	PDZ and LIM domain 3	180	9	0	9		395	10478	-10083
FAM135A	6	70413404	147770	#73af42	family with sequence similarity 135 member A	180	9	0	9		395	10478	-10083
ANKRD26	10	27004116	96382	#73af42	ankyrin repeat domain 26	180	9	0	9		395	10478	-10083
MAP4K5	14	50418475	114094	#73af42	mitogen-activated protein kinase kinase kinase kinase 5	180	9	0	9		395	10478	-10083
ATAD5	17	30831966	63899	#73af42	ATPase family AAA domain containing 5	180	9	0	9		395	10478	-10083
SBF2	11	9778667	515540	#73af42	SET binding factor 2	180	9	0	9		395	10478	-10083
TNKS	8	3566718	228839	#73af42	tankyrase	180	9	0	9		395	10478	-10083
COL14A1	8	120125102	248471	#73af42	collagen type XIV alpha 1 chain	180	9	0	9		395	10478	-10083
HPS3	3	149129638	44094	#73af42	HPS3 biogenesis of lysosomal organelles complex 2 subunit 1	180	9	0	9		395	10478	-10083
SLC5A3	21	34073578	32682	#73af42	solute carrier family 5 member 3	180	9	0	9		395	10478	-10083
SNX29	16	11976734	159003	#73af42	sorting nexin 29	180	9	0	9		395	10478	-10083
PPP6R1	19	55229779	29238	#73af42	protein phosphatase 6 regulatory subunit 1	180	9	0	9		395	10478	-10083
CBARP	19	1228287	9718	#73af42	CACN subunit beta associated regulatory protein	180	9	0	9		395	10478	-10083
USP31	16	23061407	87863	#73af42	ubiquitin specific peptidase 31	180	9	0	9		395	10478	-10083
KLC1	14	103629188	72363	#73af42	kinesin light chain 1	180	9	0	9		395	10478	-10083
TRIOBP	22	37697048	79508	#73af42	TRIO and F-actin binding protein	180	9	0	9		395	10478	-10083
TRAPPC8	18	31829180	113948	#73af42	trafficking protein particle complex subunit 8	180	9	0	9		395	10478	-10083
DNAJC30	7	73680918	2535	#73af42	DnaJ heat shock protein family (Hsp40) member C30	180	9	0	9		395	10478	-10083
