gene_symbol	chromosome	start	length	color	full_name	days_in_timeframe	recent_timeframe_citation_count	prior_timeframe_citation_count	citation_count_delta	significance	recent_gene_rank	prior_gene_rank	rank_delta
Ephb2	5	155024478	179956	#73af42	Eph receptor B2	180	9	0	9		5	670	-665
Slc9a1	5	151573122	53238	#73af42	solute carrier family 9 member A1	180	8	0	8		9	670	-661
Ptch1	17	1032242	53643	#73af42	patched 1	180	7	0	7		12	670	-658
Traf2	3	2746075	24545	#73af42	Tnf receptor-associated factor 2	180	7	0	7		12	670	-658
Rela	1	220992770	10479	#73af42	RELA proto-oncogene, NF-kB subunit	180	7	0	7		12	670	-658
Oprm1	1	43475420	227856	#73af42	opioid receptor, mu 1	180	7	0	7		12	670	-658
Mir802	11	33570256	95	#73af42	microRNA 802	180	7	0	7		12	670	-658
Uchl1	14	43133224	10718	#73af42	ubiquitin C-terminal hydrolase L1	180	7	0	7		12	670	-658
Mir875	7	74423233	72	#73af42	microRNA 875	180	7	0	7		12	670	-658
Rtn4	14	114126966	47493	#73af42	reticulon 4	180	7	0	7		12	670	-658
Bace1	8	50140092	22296	#73af42	beta-secretase 1	180	7	0	7		12	670	-658
Hsd17b3	17	1579319	31426	#73af42	hydroxysteroid (17-beta) dehydrogenase 3	180	7	0	7		12	670	-658
Rtn4r	11	86992665	24426	#73af42	reticulon 4 receptor	180	7	0	7		12	670	-658
B2m	3	114087287	6024	#73af42	beta-2 microglobulin	180	7	0	7		12	670	-658
Usp15	7	66595742	90456	#73af42	ubiquitin specific peptidase 15	180	7	0	7		12	670	-658
Mir138-1	8	131731726	98	#73af42	microRNA 138-1	180	7	0	7		12	670	-658
Pgam5	12	52467450	7061	#73af42	PGAM family member 5, mitochondrial serine/threonine protein phosphatase	180	6	0	6		47	670	-623
Gdnf	2	56887987	22251	#73af42	glial cell derived neurotrophic factor	180	6	0	6		47	670	-623
Calm1	6	124217241	8051	#73af42	calmodulin 1	180	6	0	6		47	670	-623
Dio1	5	126894837	16695	#73af42	iodothyronine deiodinase 1	180	6	0	6		47	670	-623
Serpina12	6	127696501	14737	#73af42	serpin family A member 12	180	6	0	6		47	670	-623
Trpv2	10	48903540	21496	#73af42	transient receptor potential cation channel, subfamily V, member 2	180	6	0	6		47	670	-623
Fndc5	5	147323240	7026	#73af42	fibronectin type III domain containing 5	180	6	0	6		47	670	-623
Comt	11	86715981	19648	#73af42	catechol-O-methyltransferase	180	6	0	6		47	670	-623
Grm7	4	142452616	914962	#73af42	glutamate metabotropic receptor 7	180	6	0	6		47	670	-623
Crb1	13	56270781	192053	#73af42	crumbs cell polarity complex component 1	180	6	0	6		47	670	-623
Ahr	6	54963990	37474	#73af42	aryl hydrocarbon receptor	180	6	0	6		47	670	-623
Ndufa4	4	38233680	7168	#73af42	NDUFA4, mitochondrial complex associated	180	6	0	6		47	670	-623
Snap25	3	129697408	91009	#73af42	synaptosome associated protein 25	180	6	0	6		47	670	-623
Aqp1	4	85551503	12180	#73af42	aquaporin 1	180	6	0	6		47	670	-623
Gapdh	4	157676396	3872	#73af42	glyceraldehyde-3-phosphate dehydrogenase	180	6	0	6		47	670	-623
Sh3gl1	9	11031829	23457	#73af42	SH3 domain containing GRB2 like 1, endophilin A2	180	6	0	6		47	670	-623
Msi1	12	46899835	21079	#73af42	musashi RNA-binding protein 1	180	6	0	6		47	670	-623
Slc16a3	10	110139783	8575	#73af42	solute carrier family 16 member 3	180	6	0	6		47	670	-623
Map3k2	18	24961250	64237	#73af42	mitogen activated protein kinase kinase kinase 2	180	6	0	6		47	670	-623
Slc6a4	10	63153656	21164	#73af42	solute carrier family 6 member 4	180	6	0	6		47	670	-623
Baiap2	10	109107389	74573	#73af42	BAR/IMD domain containing adaptor protein 2	180	6	0	6		47	670	-623
Gh1	10	94486204	1977	#73af42	growth hormone 1	180	6	0	6		47	670	-623
Atp1a1	2	204003742	28281	#73af42	ATPase Na+/K+ transporting subunit alpha 1	180	6	0	6		47	670	-623
Dvl2	10	56610051	9218	#73af42	dishevelled segment polarity protein 2	180	6	0	6		47	670	-623
Atf6	13	89057467	184993	#73af42	activating transcription factor 6	180	6	0	6		47	670	-623
Ascl1	7	28038662	1830	#73af42	achaete-scute family bHLH transcription factor 1	180	6	0	6		47	670	-623
Adra1b	10	29392762	57882	#73af42	adrenoceptor alpha 1B	180	6	0	6		47	670	-623
Tnfaip6	3	37545243	19461	#73af42	TNF alpha induced protein 6	180	6	0	6		47	670	-623
Hif3a	1	78976324	21545	#73af42	hypoxia inducible factor 3 subunit alpha	180	6	0	6		47	670	-623
Efnb2	16	86631151	40899	#73af42	ephrin B2	180	6	0	6		47	670	-623
Mir448	X	118277684	111	#73af42	microRNA 448	180	6	0	6		47	670	-623
Prdx1	5	135536413	15573	#73af42	peroxiredoxin 1	180	6	0	6		47	670	-623
Fabp3	5	148528869	6728	#73af42	fatty acid binding protein 3	180	6	0	6		47	670	-623
Cyp1a1	8	62472087	6030	#73af42	cytochrome P450, family 1, subfamily a, polypeptide 1	180	6	0	6		47	670	-623
Adra1d	3	124129558	16008	#73af42	adrenoceptor alpha 1D	180	6	0	6		47	670	-623
Star	16	71036204	4643	#73af42	steroidogenic acute regulatory protein	180	6	0	6		47	670	-623
Fabp2	2	227080912	2742	#73af42	fatty acid binding protein 2	180	6	0	6		47	670	-623
Epas1	6	10306508	78731	#73af42	endothelial PAS domain protein 1	180	6	0	6		47	670	-623
Hgf	4	15436662	68621	#73af42	hepatocyte growth factor	180	6	0	6		47	670	-623
Faslg	13	79698445	7260	#73af42	Fas ligand	180	6	0	6		47	670	-623
Lep	4	56346978	4840	#73af42	leptin	180	6	0	6		47	670	-623
Unc13a	16	20056398	47547	#73af42	unc-13 homolog A	180	6	0	6		47	670	-623
Slc5a2	1	199682688	6121	#73af42	solute carrier family 5 member 2	180	6	0	6		47	670	-623
Ogg1	4	145283043	6265	#73af42	8-oxoguanine DNA glycosylase	180	6	0	6		47	670	-623
Acsm3	1	189514553	26680	#73af42	acyl-CoA synthetase medium-chain family member 3	180	6	0	6		47	670	-623
Pth	1	178215830	2931	#73af42	parathyroid hormone	180	6	0	6		47	670	-623
Tlr7	X	28486929	25272	#73af42	toll-like receptor 7	180	6	0	6		47	670	-623
Mir122	18	60755285	84	#73af42	microRNA 122	180	6	0	6		47	670	-623
Tnmd	X	104684676	15497	#73af42	tenomodulin	180	6	0	6		47	670	-623
Scarf1	10	63662967	9462	#73af42	scavenger receptor class F, member 1	180	6	0	6		47	670	-623
Mir206	9	26791764	83	#73af42	microRNA 206	180	6	0	6		47	670	-623
Cxcl6	14	18861357	911	#73af42	C-X-C motif chemokine ligand 6	180	6	0	6		47	670	-623
Stxbp1	3	11823784	61633	#73af42	syntaxin binding protein 1	180	6	0	6		47	670	-623
Mir202	1	212295630	71	#73af42	microRNA 202	180	6	0	6		47	670	-623
Mir495	6	133868288	79	#73af42	microRNA 495	180	6	0	6		47	670	-623
Fas	1	252589785	35005	#73af42	Fas cell surface death receptor	180	6	0	6		47	670	-623
Adra1a	15	43299385	93046	#73af42	adrenoceptor alpha 1A	180	6	0	6		47	670	-623
Nme7	13	82607844	129499	#73af42	NME/NM23 family member 7	180	5	0	5		141	670	-529
Ppp3ca	2	241909832	275030	#73af42	protein phosphatase 3 catalytic subunit alpha	180	5	0	5		141	670	-529
Glp1r	20	9586075	40153	#73af42	glucagon-like peptide 1 receptor	180	5	0	5		141	670	-529
P2rx3	3	72403992	43809	#73af42	purinergic receptor P2X 3	180	5	0	5		141	670	-529
Drd5	14	77220579	1427	#73af42	dopamine receptor D5	180	5	0	5		141	670	-529
Npr3	2	61889053	60653	#73af42	natriuretic peptide receptor 3	180	5	0	5		141	670	-529
Fez1	8	39305128	45142	#73af42	fasciculation and elongation protein zeta 1	180	5	0	5		141	670	-529
Ikbkb	16	74177232	53577	#73af42	inhibitor of nuclear factor kappa B kinase subunit beta	180	5	0	5		141	670	-529
Tead1	1	177495782	211081	#73af42	TEA domain transcription factor 1	180	5	0	5		141	670	-529
Mir153	6	145105064	86	#73af42	microRNA 153	180	5	0	5		141	670	-529
Crmp1	14	78266933	45836	#73af42	collapsin response mediator protein 1	180	5	0	5		141	670	-529
Mir215	13	103250850	100	#73af42	microRNA 215	180	5	0	5		141	670	-529
P2ry12	2	149441601	2947	#73af42	purinergic receptor P2Y12	180	5	0	5		141	670	-529
Tomm22	7	120901934	1749	#73af42	translocase of outer mitochondrial membrane 22	180	5	0	5		141	670	-529
Nfatc3	19	38039729	74274	#73af42	nuclear factor of activated T-cells 3	180	5	0	5		141	670	-529
Ager	20	4363152	2927	#73af42	advanced glycosylation end product-specific receptor	180	5	0	5		141	670	-529
Akr1c19	17	69654170	21033	#73af42	aldo-keto reductase family 1, member C19	180	5	0	5		141	670	-529
RGD1564865	17	69468427	28705	#73af42	similar to 20-alpha-hydroxysteroid dehydrogenase	180	5	0	5		141	670	-529
Brca1	10	89395848	58833	#73af42	BRCA1, DNA repair associated	180	5	0	5		141	670	-529
Mir137	2	221658106	101	#73af42	microRNA 137	180	5	0	5		141	670	-529
Spp1	14	6673686	6235	#73af42	secreted phosphoprotein 1	180	5	0	5		141	670	-529
Hsd11b1	13	111946626	25977	#73af42	hydroxysteroid 11-beta dehydrogenase 1	180	5	0	5		141	670	-529
Epha4	9	83111223	142235	#73af42	Eph receptor A4	180	5	0	5		141	670	-529
Mir23a	19	25318582	74	#73af42	microRNA 23a	180	5	0	5		141	670	-529
Grik2	20	53791428	726263	#73af42	glutamate ionotropic receptor kainate type subunit 2	180	5	0	5		141	670	-529
Erbb3	7	2991016	19296	#73af42	erb-b2 receptor tyrosine kinase 3	180	5	0	5		141	670	-529
Abcb1a	4	22339829	85552	#73af42	ATP binding cassette subfamily B member 1A	180	5	0	5		141	670	-529
