#name	chromosome	start	length	color	full_name	days_in_timeframe	recent_timeframe_citation_count	past_timeframe_citation_count	citation_count_delta	significance	recent_gene_rank	past_gene_rank	rank_delta
GSTP1	18	50040622	3016	#73af42	glutathione S-transferase pi 1	180	6	0	6		1	37	-36
KDR	13	47729487	41625	#73af42	kinase insert domain receptor	180	4	0	4		3	37	-34
MIR8907	16	4933794	28389	#73af42	microRNA mir-8907	180	0	0	0		7	37	-30
CYB5A	Un	4920236	35705	#73af42	cytochrome b5 type A (microsomal)	180	0	0	0		7	37	-30
BCL2	1	13633483	166489	#73af42	BCL2 apoptosis regulator	180	0	0	0		7	37	-30
PPIAP1	1	14563521	727	#73af42	peptidylprolyl isomerase (cyclophilin A) pseudogene 1	180	0	0	0		7	37	-30
CDH20	1	15079685	51479	#73af42	cadherin 20	180	0	0	0		7	37	-30
MC4R	1	16032383	998	#73af42	melanocortin 4 receptor	180	0	0	0		7	37	-30
PMAIP1	1	16376897	3349	#73af42	phorbol-12-myristate-13-acetate-induced protein 1	180	0	0	0		7	37	-30
SEC11C	1	16932845	15542	#73af42	SEC11 homolog C, signal peptidase complex subunit	180	0	0	0		7	37	-30
MIR122	1	17532433	57	#73af42	microRNA mir-122	180	0	0	0		7	37	-30
TCF4	1	20000058	356820	#73af42	transcription factor 4	180	0	0	0		7	37	-30
CUPIN1	1	21010356	13058	#73af42	cupin superfamily member 1	180	0	0	0		7	37	-30
TAAR5	1	25596935	1013	#73af42	trace amine associated receptor 5	180	0	0	0		7	37	-30
TAAR4	1	25603937	1046	#73af42	trace amine-associated receptor 4	180	0	0	0		7	37	-30
VNN1	1	25690559	20490	#73af42	vanin 1	180	0	0	0		7	37	-30
TBPL1	1	26942064	37127	#73af42	TATA-box binding protein like 1	180	0	0	0		7	37	-30
UTRN	1	35775436	486187	#73af42	utrophin	180	0	0	0		7	37	-30
PPIL4	1	40353033	45155	#73af42	peptidylprolyl isomerase like 4	180	0	0	0		7	37	-30
LATS1	1	40498212	18866	#73af42	large tumor suppressor kinase 1	180	0	0	0		7	37	-30
